x,p11,p12,p13,p14,p21,p22,p23,p24
0.5,0.69757+8.3267e-16i,0.97746+0.15064i,0.99292-1.1272e-15i,0.97746-0.15064i,-0.14268,1.0806,1.0014-0.060615i,1.0014+0.060615i
0.6,0.94618+0.22502i,0.94618-0.22502i,0.97102-7.5511e-15i,0.90372+1.4546e-14i,1.2044-0.19132i,1.2044+0.19132i,1.0015,0.91107
0.7,0.92497-0.23858i,0.92497+0.23858i,0.9505-0.015262i,0.9505+0.015262i,1.1663-0.22215i,1.1663+0.22215i,0.99024,0.92227
0.8,0.96431+0.1966i,0.96431-0.1966i,0.85828+1.0647e-14i,0.98139-4.2605e-15i,1.1293-0.26451i,1.1293+0.26451i,0.98291,0.9323
0.9,0.9783-0.21632i,0.9783+0.21632i,0.98103+4.0317e-16i,0.88196+4.6477e-16i,1.085-0.27385i,1.085+0.27385i,0.97734,0.93556
1,0.94338-0.21377i,0.94338+0.21377i,0.97019+1.7616e-15i,0.90106-6.5661e-15i,1.1786-0.2776i,1.1786+0.2776i,0.96523-0.015921i,0.96523+0.015921i
1.1,0.96572+0.22481i,0.96572-0.22481i,0.97396-5.7495e-15i,0.90323+2.0643e-14i,1.1913-0.25367i,1.1913+0.25367i,0.96416-0.0089946i,0.96416+0.0089946i
1.2,0.97095+0.2306i,0.97095-0.2306i,0.97292-1.6912e-15i,0.90971+8.813e-15i,1.1682-0.24233i,1.1682+0.24233i,0.97871,0.94119
1.3,0.94617+0.23769i,0.94617-0.23769i,0.95758+2.0671e-15i,0.93584-4.4957e-15i,1.5714,1.3769,0.97348-0.025484i,0.97348+0.025484i
1.4,0.95955-0.23137i,0.95955+0.23137i,0.96856+4.2564e-16i,0.91738-3.5451e-15i,1.6302,1.3235,0.97199-0.022741i,0.97199+0.022741i
1.5,0.95189-0.23838i,0.95189+0.23838i,0.96091+4.1819e-17i,0.93212-3.3931e-16i,1.3967-0.14193i,1.3967+0.14193i,0.97025-0.021007i,0.97025+0.021007i
1.6,0.9545-0.2493i,0.9545+0.2493i,0.95056-0.011701i,0.95056+0.011701i,2.5153,1.1215,0.97716,0.96766
1.7,0.95068+0.25549i,0.95068-0.25549i,0.95315+0.020146i,0.95315-0.020146i,1.3037-0.34618i,1.3037+0.34618i,0.97056-0.0205i,0.97056+0.0205i
1.8,0.94186+0.26333i,0.94186-0.26333i,0.95584+0.026282i,0.95584-0.026282i,1.2356-0.37807i,1.2356+0.37807i,0.97007-0.018204i,0.97007+0.018204i
1.9,0.93569+0.26904i,0.93569-0.26904i,0.9575+0.0293i,0.9575-0.0293i,1.1968-0.37587i,1.1968+0.37587i,0.96908-0.016818i,0.96908+0.016818i
2,0.93427+0.27127i,0.93427-0.27127i,0.95806+0.030171i,0.95806-0.030171i,1.1755-0.36831i,1.1755+0.36831i,0.96777-0.016961i,0.96777+0.016961i
