x,p11,p12,p13,p14,p21,p22,p23,p24
0.5,0.97207-0.28465i,0.97207+0.28465i,1.0227-0.0426i,1.0227+0.0426i,2.1206,0.37628,1.0094,1.2305
0.75,1.037-0.20845i,1.037+0.20845i,0.99087-0.050226i,0.99087+0.050226i,10.036,1.2152,1.0064,0.73659
1,0.81464-0.23144i,0.81464+0.23144i,1.0191-6.1916e-15i,1.1044+2.4934e-14i,35.198,1.1972,1.0064,0.7539
1.25,0.94582+0.22866i,0.94582-0.22866i,1.043+0.032432i,1.043-0.032432i,5.7616,0.71695,1.2153,1.0068
1.5,0.97047+0.23371i,0.97047-0.23371i,1.0227+0.047472i,1.0227-0.047472i,19.154,0.70132,1.2018,1.0062
1.75,1.0123+0.22527i,1.0123-0.22527i,0.99929+0.051118i,0.99929-0.051118i,2.8348,0.6971,1.2732,1.0035
2,1.0276+0.23054i,1.0276-0.23054i,0.98951+0.048561i,0.98951-0.048561i,3.632,0.72286,1.2261,1.0039
2.25,1.0295-0.23356i,1.0295+0.23356i,0.99168-0.049673i,0.99168+0.049673i,2.7154,1.2653,0.73171,1.003
2.5,1.0393-0.24034i,1.0393+0.24034i,0.98772-0.048165i,0.98772+0.048165i,2.975,1.251,0.72738,1.0033
2.75,1.0588-0.243i,1.0588+0.243i,0.97317-0.039192i,0.97317+0.039192i,2.8478,1.2511,0.73514,1.0032
3,1.0637+0.24288i,1.0637-0.24288i,0.9707+0.036573i,0.9707-0.036573i,2.9071,0.71615,1.2574,1.0033
3.25,1.078-0.24659i,1.078+0.24659i,0.96643-0.030631i,0.96643+0.030631i,3.1502,1.2465,0.73034,1.0031
3.5,1.1097+0.24737i,1.1097-0.24737i,0.98018+2.1212e-14i,0.91876-5.484e-14i,53.289,0.67036,1.0059,1.1998
3.75,0.95752+0.26193i,0.95752-0.26193i,1.0367+0.034509i,1.0367-0.034509i,0.81967-0.53916i,0.81967+0.53916i,1.2106,1.0107
4,1.0301-0.22174i,1.0301+0.22174i,0.95881-0.025456i,0.95881+0.025456i,0.64142-0.41184i,0.64142+0.41184i,1.1995,1.0091
4.25,0.95287-0.2301i,0.95287+0.2301i,1.0234-0.04499i,1.0234+0.04499i,0.85977-0.4172i,0.85977+0.4172i,1.2178,1.0091
4.5,1.0059+0.21286i,1.0059-0.21286i,0.97668+0.045888i,0.97668-0.045888i,0.65919-0.39951i,0.65919+0.39951i,1.2458,1.0049
4.75,1.0137+0.21408i,1.0137-0.21408i,0.97338+0.042971i,0.97338-0.042971i,0.60428-0.41191i,0.60428+0.41191i,1.2636,1.0043
5,0.99237-0.215i,0.99237+0.215i,0.99218-0.051491i,0.99218+0.051491i,0.70587-0.40826i,0.70587+0.40826i,1.2262,1.0063
5.25,1.0018+0.20685i,1.0018-0.20685i,0.98794+0.051542i,0.98794-0.051542i,0.75832-0.40218i,0.75832+0.40218i,1.2587,1.0061
5.5,1.0069-0.21059i,1.0069+0.21059i,0.98482-0.049897i,0.98482+0.049897i,0.73657-0.37981i,0.73657+0.37981i,1.2292,1.0064
5.75,1.0051+0.21213i,1.0051-0.21213i,0.98378+0.049156i,0.98378-0.049156i,0.67107-0.40511i,0.67107+0.40511i,1.247,1.0054
6,0.96825-0.20638i,0.96825+0.20638i,1.0194-0.047876i,1.0194+0.047876i,-4.4224,0.38631,1.4345,1.0022
