x,p11,p12,p13,p14,p21,p22,p23,p24
0.1,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i,-0.66092,0.80388-0.10957i,0.80388+0.10957i,1.071
0.2,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i,1.0685,0.71221,0.85015-0.087168i,0.85015+0.087168i
0.3,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i,0.71914,1.0191,0.9241-0.075433i,0.9241+0.075433i
0.4,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i,0.70521,0.95311-0.084618i,0.95311+0.084618i,0.97725
0.5,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i,0.69194,0.95827-0.094353i,0.95827+0.094353i,0.96706
0.6,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i,0.6799,0.95802-0.098836i,0.95802+0.098836i,0.96484
0.7,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i,0.66915,0.95692-0.10087i,0.95692+0.10087i,0.96423
0.8,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i,0.65964,0.95584-0.10177i,0.95584+0.10177i,0.96405
0.9,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i,0.65124,0.95494-0.10212i,0.95494+0.10212i,0.96398
1,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i,0.64382,0.95421-0.1022i,0.95421+0.1022i,0.96396
1.1,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i,0.63725,0.95363-0.10214i,0.95363+0.10214i,0.96395
1.2,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i,0.6314,0.95317-0.102i,0.95317+0.102i,0.96394
