x,p1,p2,p3,p4
0.06,2.401,1.015-0.17409i,1.015+0.17409i,0.96867
0.07,3.7214,1.0111-0.17545i,1.0111+0.17545i,0.97755
0.08,2.3239,1.0115-0.22381i,1.0115+0.22381i,0.97289
0.09,1.2737-0.19602i,1.2737+0.19602i,0.79214,0.96093
0.1,2.2238,1.0839-0.034527i,1.0839+0.034527i,0.94004
0.11,1.5328,1.2324,0.95996,0.91878
0.12,1.4144,1.2422,0.9507,0.93391
0.13,1.4911,1.2144,0.95026-0.012064i,0.95026+0.012064i
0.14,1.4537,1.1836,0.97531-0.0098398i,0.97531+0.0098398i
0.15,1.6159,1.1872,0.96339-0.021964i,0.96339+0.021964i
0.16,1.3581-0.014273i,1.3581+0.014273i,1.0032,0.96965
0.17,1.4944,1.2678,0.99638,0.97144
0.18,1.5308,1.2495,0.99242,0.97309
0.19,1.5439,1.224,0.98715,0.97178
0.2,1.5683,1.2166,0.98771,0.9725
0.21,1.8165,1.1322,1.0171,0.9659
0.22,2.0488,1.1692,0.97987-0.014447i,0.97987+0.014447i
0.23,2.0427,1.1541,0.97961-0.0067768i,0.97961+0.0067768i
0.24,1.8749,1.1739,0.98706,0.96882
0.25,1.1948-0.3092i,1.1948+0.3092i,0.96272-0.0021467i,0.96272+0.0021467i
0.26,0.93089-0.2335i,0.93089+0.2335i,0.88863,0.95003
0.27,0.49005,0.93287-0.12178i,0.93287+0.12178i,0.96416
0.28,0.41698,1.0109,0.87673-0.10479i,0.87673+0.10479i
0.29,0.61755-0.26967i,0.61755+0.26967i,1.0508,0.86416
0.3,0.40913,0.94402-0.1162i,0.94402+0.1162i,0.96252
0.31,-0.50359,0.9877-0.10889i,0.9877+0.10889i,0.94168
0.32,-0.76796,0.99896-0.12722i,0.99896+0.12722i,0.93631
0.33,-0.56707,1.0015-0.13092i,1.0015+0.13092i,0.93508
0.34,-0.32184,1.0012-0.13413i,1.0012+0.13413i,0.93572
0.35,-0.49309,0.99041-0.12611i,0.99041+0.12611i,0.9393
0.36,-0.28082,0.97718-0.11567i,0.97718+0.11567i,0.94293
0.37,-0.028705,0.96525-0.10449i,0.96525+0.10449i,0.94531
0.38,0.088653,0.96006-0.10173i,0.96006+0.10173i,0.94779
0.39,0.27383,0.93656-0.086883i,0.93656+0.086883i,0.96198
0.4,0.58337,0.99176,0.8924-0.087882i,0.8924+0.087882i
0.41,0.58619,0.88821-0.08653i,0.88821+0.08653i,0.99367
0.42,0.56549,0.90509-0.089006i,0.90509+0.089006i,0.98197
0.43,0.53759,0.99666,0.88857-0.089236i,0.88857+0.089236i
0.44,0.53604,0.99601,0.89065-0.089557i,0.89065+0.089557i
0.45,0.45137,0.91518-0.089317i,0.91518+0.089317i,0.98362
0.46,0.45469,0.91945-0.089094i,0.91945+0.089094i,0.97988
0.47,0.42732,0.94285-0.09066i,0.94285+0.09066i,0.96458
0.48,0.44741,0.96249-0.091509i,0.96249+0.091509i,0.94942
0.49,0.43038,0.95587-0.094112i,0.95587+0.094112i,0.95526
0.5,0.42672,0.95337-0.095336i,0.95337+0.095336i,0.95717
