T_values,eig_diff2_values
0.06,46.848
0.07,77.784
0.08,66.536
0.09,27.522
0.1,15.089
0.11,12.343
0.12,9.5597
0.13,8.4605
0.14,2.8491
0.15,6.9875
0.16,2.967
0.17,2.7037
0.18,3.0308
0.19,3.3158
0.2,3.268
0.21,3.7245
0.22,5.8554
0.23,4.8866
0.24,4.5065
0.25,7.5313
0.26,11.269
0.27,13.501
0.28,11.001
0.29,38.424
0.3,13.81
0.31,32.007
0.32,51.453
0.33,48.554
0.34,42.632
0.35,42.378
0.36,31.608
0.37,22.54
0.38,19.341
0.39,12.938
0.4,5.9806
0.41,5.7453
0.42,7.3606
0.43,5.836
0.44,5.8935
0.45,8.0259
0.46,8.3471
0.47,9.4207
0.48,9.447
0.49,9.9685
0.5,10.176
