x,p11,p12,p13,p14,p21,p22,p23,p24
0.5,1.0062-0.31792i,1.0062+0.31792i,1.0093-0.037782i,1.0093+0.037782i,0.42723,1.7791,1.0097,1.2517
0.6,1.0623-0.24359i,1.0623+0.24359i,0.98958-4.4971e-15i,0.92007+1.7503e-14i,3.5729,1.2423,1.0064,0.72832
0.7,1.0453+0.23275i,1.0453-0.23275i,0.98082+0.026232i,0.98082-0.026232i,4.2432,1.2243,1.0068,0.73245
0.8,1.0914+0.2392i,1.0914-0.2392i,0.9774+0.026514i,0.9774-0.026514i,8.8436,1.2103,1.0061,0.75361
0.9,0.89925+0.24979i,0.89925-0.24979i,1.0365+0.024382i,1.0365-0.024382i,14.515,1.206,1.0059,0.75823
1,0.80589-0.26046i,0.80589+0.26046i,1.0841+3.0823e-14i,1.0204-9.1562e-15i,14.174,1.2014,1.0063,0.75398
1.1,1.0675+0.22271i,1.0675-0.22271i,0.99163+0.046805i,0.99163-0.046805i,4.648,1.2392,1.0057,0.75155
1.2,1.1297+0.15288i,1.1297-0.15288i,0.97976+2.5138e-15i,0.92913-1.193e-14i,5.7772,1.2141,1.0061,0.76052
1.3,1.181-0.17375i,1.181+0.17375i,0.99403-8.8126e-15i,0.88838+4.7584e-14i,3.4896,0.6421,1.255,1.0068
1.4,1.2038-0.19838i,1.2038+0.19838i,0.99802-1.0305e-15i,0.84543+9.0189e-15i,17.927,0.69372,1.2167,1.0061
1.5,1.2256-0.18017i,1.2256+0.18017i,0.99842-1.0768e-15i,0.84385+9.8567e-15i,-49.84,0.69919,1.0063,1.1982
1.6,1.1867-0.18698i,1.1867+0.18698i,0.99598-1.3488e-16i,0.85797+6.4937e-16i,-6.8905,0.63482,1.0065,1.2013
1.7,1.1955+0.18672i,1.1955-0.18672i,0.99683+1.7516e-16i,0.85231-6.2931e-17i,5.6387,0.68372,1.2435,1.004
1.8,1.1894+0.19124i,1.1894-0.19124i,0.99626-2.2802e-16i,0.85515+3.4707e-15i,7.8812,1.2329,1.004,0.70025
1.9,1.1742+0.20301i,1.1742-0.20301i,0.99595+6.039e-17i,0.85323-1.5504e-16i,4.1328,0.71382,1.2256,1.0039
2,1.1816+0.20182i,1.1816-0.20182i,0.99546+2.7766e-17i,0.86286+1.7174e-15i,4.1371,0.72462,1.2214,1.0039
