x,y1,y2
0.0057296,0.0066338,0.0040707
0.017189,0.082131,0.012569
0.028648,0.056764,0.014681
0.040107,0.83666,0.040995
0.051566,0.053919,0.078418
0.063025,0.32394,0.22761
0.074485,0.35966,0.029752
0.085944,0.069196,0.056001
0.097403,0.24066,0.19241
0.10886,1.304,0.229
0.12032,0.065457,0.059028
0.13178,1.7356,0.056709
0.14324,0.27341,0.060568
0.1547,0.33138,0.066067
0.16616,0.72936,0.078406
0.17762,0.36943,0.11814
0.18908,1.0002,0.032318
0.20054,0.55565,0.11226
0.21199,1.2646,0.056305
0.22345,1.0222,0.19953
0.23491,3.5417,0.1874
0.24637,0.91838,0.13609
0.25783,1.8333,0.2405
0.26929,0.85578,0.53067
0.28075,3.4332,0.20288
0.29221,5.179,0.15309
0.30367,1.7472,0.23457
0.31513,11.647,0.30618
0.32659,1.2461,0.25016
0.33805,2.6108,0.38366
0.3495,1.2508,0.14351
0.36096,0.78011,0.15837
0.37242,5.0619,0.37953
0.38388,4.3159,0.16838
0.39534,0.64437,0.45362
0.4068,1.783,0.32093
0.41826,9.9035,0.45526
0.42972,0.88877,0.3873
0.44118,0.43349,0.2694
0.45264,2.2527,0.29176
0.4641,1.0781,0.21275
0.47555,5.8491,0.44463
0.48701,0.62576,0.44361
0.49847,2.0481,0.15572
0.50993,1.2796,0.45221
0.52139,0.83853,0.33258
0.53285,36.067,0.37862
0.54431,2.9035,0.19757
0.55577,3.0234,0.23853
0.56723,4.7859,0.14296
