x,p11,p12,p13,p14,p21,p22,p23,p24
0.1,-0.045416-8.0605e-14i,0.52-1.3478e-14i,0.90555+0.15933i,0.90555-0.15933i,0.23571,0.75906-0.42331i,0.75906+0.42331i,0.70163
0.2,0.49712+3.6554e-14i,0.92855+0.1971i,0.76851-1.5796e-14i,0.92855-0.1971i,0.84802-0.20179i,0.84802+0.20179i,0.68398,0.72519
0.3,0.69046-1.3184e-14i,0.93476-0.15341i,0.8482+7.7615e-16i,0.93476+0.15341i,0.79566-0.070105i,0.79566+0.070105i,0.8948-0.13217i,0.8948+0.13217i
0.4,0.94606-0.13076i,0.94606+0.13076i,0.7798+1.6568e-15i,0.88472+3.8835e-16i,0.83925-0.07095i,0.83925+0.07095i,0.92422-0.099153i,0.92422+0.099153i
0.5,0.95252-0.11727i,0.95252+0.11727i,0.82581-1.8705e-15i,0.90566+2.5279e-16i,0.94412-0.08107i,0.94412+0.08107i,0.86424-0.066488i,0.86424+0.066488i
0.6,0.95674-0.10609i,0.95674+0.10609i,0.85297+2.4586e-16i,0.91918+1.2259e-15i,0.95807-0.070133i,0.95807+0.070133i,0.88062-0.061583i,0.88062+0.061583i
0.7,0.96091+0.096479i,0.96091-0.096479i,0.87148-3.7094e-15i,0.92807-9.6379e-17i,0.96822-0.06297i,0.96822+0.06297i,0.89232-0.057206i,0.89232+0.057206i
0.8,0.96528+0.088626i,0.96528-0.088626i,0.88544-3.9572e-15i,0.93381-2.9705e-16i,0.97587-0.057987i,0.97587+0.057987i,0.90116-0.053474i,0.90116+0.053474i
0.9,0.96959+0.082388i,0.96959-0.082388i,0.93739+7.3041e-16i,0.89661-3.4268e-15i,0.9818-0.05436i,0.9818+0.05436i,0.9081-0.050311i,0.9081+0.050311i
1,0.97364+0.077466i,0.97364-0.077466i,0.90595-7.387e-16i,0.93945+2.4976e-16i,0.98652-0.051623i,0.98652+0.051623i,0.91372-0.047614i,0.91372+0.047614i
1.1,0.97735-0.07357i,0.97735+0.07357i,0.94039-1.5223e-15i,0.91409+3.0198e-15i,0.99035-0.049498i,0.99035+0.049498i,0.91837-0.045293i,0.91837+0.045293i
1.2,0.9807+0.070463i,0.9807-0.070463i,0.94032-1.449e-15i,0.92155+4.4707e-15i,0.9935-0.047806i,0.9935+0.047806i,0.9223-0.043273i,0.9223+0.043273i
