x,y1,y2
0.2,10.237,1.1706
0.21,6.3904,4.4254
0.22,2.7124,2.502
0.23,1.4198,1.0446
0.24,0.97927,0.93308
0.25,1.0266,0.95763
0.26,0.95034,0.94661
0.27,1.1251,0.8518
0.28,0.89764,0.88977
0.29,0.46814,0.9286
0.3,0.49422,0.97101
0.31,0.56571,0.93705
0.32,0.58296,0.5878
0.33,0.60074,0.47924
0.34,0.60949,0.13472
0.35,0.60576,0.056671
0.36,0.62169,0.2949
0.37,0.62812,0.37666
0.38,0.58718,0.20372
0.39,1.6404,0.2454
0.4,7.0449,0.16942
0.41,2.0553,0.10593
0.42,1.8079,0.067691
0.43,1.7539,0.061349
0.44,4.6723,0.055115
0.45,2.0506,0.15789
0.46,0.78144,0.1321
0.47,0.47851,0.056442
0.48,0.37771,0.052668
0.49,0.32149,0.06698
0.5,0.34037,0.093792
0.51,0.28364,0.092498
0.52,0.39848,0.13158
0.53,0.22058,0.086849
0.54,0.32255,0.099394
0.55,0.29272,0.10165
0.56,0.19911,0.079713
0.57,0.22683,0.096092
0.58,0.24025,0.10245
0.59,0.24333,0.10576
0.6,0.19226,0.065436
0.61,0.19012,0.063902
0.62,0.17985,0.042052
0.63,0.17356,0.041125
0.64,0.13903,0.080283
0.65,0.11233,0.096076
0.66,0.094432,0.090527
0.67,0.076208,0.07863
0.68,0.07391,0.10438
0.69,0.066879,0.092853
0.7,0.061707,0.070103
0.71,0.062872,0.078037
0.72,0.068482,0.08041
0.73,0.09724,0.098543
0.74,0.087191,0.085004
0.75,0.07489,0.069662
0.76,0.080731,0.073191
0.77,0.085146,0.074969
0.78,0.09029,0.078787
0.79,0.092868,0.081004
0.8,0.10361,0.087927
0.81,0.10834,0.093002
0.82,0.099945,0.088182
0.83,0.099969,0.088636
0.84,0.098849,0.087393
0.85,0.11986,0.10535
0.86,0.12238,0.1078
0.87,0.12822,0.11252
0.88,0.12726,0.11176
0.89,0.13246,0.11645
0.9,0.1377,0.11869
0.91,0.14212,0.122
0.92,0.14135,0.12247
0.93,0.14225,0.12221
0.94,0.1434,0.12195
0.95,0.14286,0.12182
0.96,0.14781,0.12441
0.97,0.14347,0.12165
0.98,0.14207,0.1205
0.99,0.14122,0.12022
1,0.14563,0.12227
