x,p11,p12,p13,p14,p21,p22,p23,p24
0.2,0.81498-0.13824i,0.81498+0.13824i,1.0535-0.071076i,1.0535+0.071076i,0.93891-0.12627i,0.93891+0.12627i,1.0264-0.027425i,1.0264+0.027425i
0.21,0.81394-0.12322i,1.0401-0.059232i,1.0401+0.059232i,0.81394+0.12322i,0.93234-0.15791i,0.93234+0.15791i,1.0505-0.049091i,1.0505+0.049091i
0.22,1.0302-0.045976i,1.0302+0.045976i,0.82794-0.073556i,0.82794+0.073556i,0.93411-0.14392i,0.93411+0.14392i,1.038-0.039456i,1.038+0.039456i
0.23,1.0252+0.039309i,1.0252-0.039309i,0.84874+0.050056i,0.84874-0.050056i,0.94185-0.11887i,0.94185+0.11887i,1.0355,0.98424
0.24,0.8501+6.3838e-16i,1.0386-5.2996e-16i,0.96072-0.022879i,0.96072+0.022879i,0.94051-0.1206i,0.94051+0.1206i,0.99497,1.0301
0.25,1.0534-4.1633e-16i,0.96909+0.015988i,0.96909-0.015988i,0.89672-3.1008e-16i,0.94312-0.11414i,0.94312+0.11414i,1.0312,0.98678
0.26,1.044-0.040606i,1.044+0.040606i,0.91532-0.032943i,0.91532+0.032943i,0.94822-0.1055i,0.94822+0.1055i,1.0289,0.96421
0.27,1.0175+0.16034i,1.0175-0.16034i,0.97009+0.02908i,0.97009-0.02908i,0.94231-0.11637i,0.94231+0.11637i,0.99891,1.0234
0.28,1.0121-0.1471i,1.0121+0.1471i,0.96887-1.4154e-15i,0.9498+3.2142e-15i,0.94597-0.10979i,0.94597+0.10979i,1.0264,0.98258
0.29,0.99725-0.13718i,0.99725+0.13718i,0.98191-1.7073e-16i,0.94444+3.2898e-16i,0.95-0.1038i,0.95+0.1038i,1.028,0.96174
0.3,0.97077-0.13668i,0.97077+0.13668i,1.0062-1.0029e-15i,0.95688+3.1712e-15i,0.94904-0.10581i,0.94904+0.10581i,1.03,0.96282
0.31,0.97368-0.12522i,0.97368+0.12522i,1.0111-1.4953e-16i,0.94314+2.7732e-15i,1.0281,0.96004-0.089442i,0.96004+0.089442i,0.91521
0.32,0.97532+0.12564i,0.97532-0.12564i,1.0102-6.2746e-17i,0.93948-6.3983e-16i,1.0155,0.96267-0.083489i,0.96267+0.083489i,0.89076
0.33,0.9744-0.12226i,0.9744+0.12226i,1.0106-1.0308e-16i,0.93435+4.094e-15i,1.0099,0.96363-0.077812i,0.96363+0.077812i,0.89746
0.34,0.97795-0.11824i,0.97795+0.11824i,1.0079-1.9358e-16i,0.92117+1.3688e-15i,0.96505-0.064694i,0.96505+0.064694i,0.98629,0.90338
0.35,0.97857-0.1154i,0.97857+0.1154i,1.0058+5.1791e-17i,0.90886-2.373e-15i,0.9667-0.062038i,0.9667+0.062038i,0.9761,0.90622
0.36,0.97746+0.11498i,1.006+4.5343e-17i,0.97746-0.11498i,0.90535+1.369e-16i,0.99912,0.96453-0.076954i,0.96453+0.076954i,0.89304
0.37,0.97675+0.11544i,1.0058-4.573e-16i,0.97675-0.11544i,0.903+8.6157e-16i,1.0029,0.96455-0.081293i,0.96455+0.081293i,0.89013
0.38,0.97852+0.11576i,1.0019-1.481e-16i,0.97852-0.11576i,0.89761+4.0143e-16i,0.96502-0.073812i,0.96502+0.073812i,0.99125,0.89296
0.39,0.95396+0.15909i,0.95396-0.15909i,0.99818-9.0006e-17i,0.87217+2.7758e-15i,0.97491-0.056589i,0.97491+0.056589i,0.92861-0.022475i,0.92861+0.022475i
0.4,1.5282-7.7716e-16i,0.89797+0.086972i,0.99617+6.4391e-18i,0.89797-0.086972i,0.97029-0.059061i,0.97029+0.059061i,0.94651,0.92259
0.41,1.1369-6.6613e-16i,0.9265+0.074056i,0.98614+8.1122e-16i,0.9265-0.074056i,0.96503-0.068405i,0.96503+0.068405i,0.98289,0.9029
0.42,1.117+1.6653e-16i,0.93065-0.071013i,0.93065+0.071013i,0.9841+2.1184e-16i,0.96544-0.065477i,0.96544+0.065477i,0.97774,0.90596
0.43,1.1215-5.5511e-17i,0.9328-0.065667i,0.9328+0.065667i,0.98492-4.9882e-17i,0.96521-0.06457i,0.96521+0.06457i,0.97693,0.90846
0.44,1.3082-1.6098e-15i,0.91093-0.06737i,0.98302+7.7126e-17i,0.91093+0.06737i,0.96524-0.064042i,0.96524+0.064042i,0.97585,0.90916
0.45,0.94256+0.14268i,0.94256-0.14268i,0.98825+1.2079e-16i,0.86767-1.263e-15i,0.9652-0.070813i,0.9652+0.070813i,0.98861,0.89888
0.46,0.97311-0.11645i,0.97311+0.11645i,0.98473+3.2e-16i,0.89164+6.4027e-16i,0.96525-0.069555i,0.96525+0.069555i,0.98589,0.90028
0.47,0.99227-0.099121i,0.99227+0.099121i,0.97209+7.1765e-17i,0.90535+1.0668e-15i,0.96663-0.065458i,0.96663+0.065458i,0.97611,0.90545
0.48,0.98964+0.092083i,0.98964-0.092083i,0.97236+2.6058e-16i,0.90352-1.1721e-15i,0.96674-0.065146i,0.96674+0.065146i,0.97552,0.90584
0.49,0.98385-0.091566i,0.98385+0.091566i,0.97747+3.3393e-17i,0.89826-1.4615e-16i,0.96628-0.065938i,0.96628+0.065938i,0.97769,0.90461
0.5,0.97588-0.096778i,0.97588+0.096778i,0.98518+1.3088e-16i,0.89124+1.5049e-16i,0.96524-0.067617i,0.96524+0.067617i,0.98124,0.90298
0.51,0.97462-0.093798i,0.97462+0.093798i,0.98601-2.068e-16i,0.8902+1.0613e-15i,0.96531-0.067522i,0.96531+0.067522i,0.98109,0.90301
