x,p11,p12,p13,p14,p21,p22,p23,p24
0.5,0.94731+0.16254i,0.94731-0.16254i,0.97136+0.056269i,0.97136-0.056269i,0.97523-0.13028i,0.97523+0.13028i,0.98374,0.84904
0.6,0.96237-0.11088i,0.96237+0.11088i,0.93241-0.039735i,0.93241+0.039735i,0.85174-0.13554i,0.85174+0.13554i,1.0424-0.049912i,1.0424+0.049912i
0.7,0.96848+0.11421i,0.96848-0.11421i,0.92914+0.033243i,0.92914-0.033243i,0.98476-0.097464i,0.98476+0.097464i,0.90015-0.0089321i,0.90015+0.0089321i
0.8,0.94264+0.12638i,0.94264-0.12638i,0.95371+0.055164i,0.95371-0.055164i,0.98765-0.090031i,0.98765+0.090031i,0.83415,0.93989
0.9,0.94073-0.11642i,0.94073+0.11642i,0.9505-0.058248i,0.9505+0.058248i,0.98109-0.090461i,0.98109+0.090461i,0.85341,0.9329
1,0.95143-0.11513i,0.95143+0.11513i,0.94258-0.052117i,0.94258+0.052117i,0.80562,0.99464-0.090257i,0.99464+0.090257i,0.95199
1.1,0.95101+0.11097i,0.95101-0.11097i,0.94032+0.053521i,0.94032-0.053521i,0.78321,0.99766-0.087888i,0.99766+0.087888i,0.95882
1.2,0.9538+0.10881i,0.9538-0.10881i,0.93663+0.051598i,0.93663-0.051598i,0.80583,0.99468-0.089312i,0.99468+0.089312i,0.94776
1.3,0.95978-0.10906i,0.95978+0.10906i,0.93181-0.044714i,0.93181+0.044714i,0.99067-0.10806i,0.99067+0.10806i,0.88608,0.95598
1.4,0.95481-0.10836i,0.95481+0.10836i,0.9351-0.050362i,0.9351+0.050362i,0.99021-0.11071i,0.99021+0.11071i,0.89923,0.95151
1.5,0.95818-0.10807i,0.95818+0.10807i,0.93217-0.046769i,0.93217+0.046769i,0.99025-0.10405i,0.99025+0.10405i,0.88766,0.95121
1.6,0.96173+0.10635i,0.96173-0.10635i,0.92749+0.041833i,0.92749-0.041833i,1.0076-0.11155i,1.0076+0.11155i,0.88814,0.9691
1.7,0.96226+0.10681i,0.96226-0.10681i,0.92703+0.040364i,0.92703-0.040364i,0.99215-0.099867i,0.99215+0.099867i,0.86563,0.95851
1.8,0.96529+0.10721i,0.96529-0.10721i,0.92498+0.03502i,0.92498-0.03502i,0.99271-0.094472i,0.99271+0.094472i,0.84762,0.96127
1.9,0.96734+0.10735i,0.96734-0.10735i,0.92362+0.030822i,0.92362-0.030822i,0.83178,0.99099-0.090632i,0.99099+0.090632i,0.96316
2,0.96782+0.10766i,0.96782-0.10766i,0.92349+0.02972i,0.92349-0.02972i,0.831,0.98814-0.092363i,0.98814+0.092363i,0.96397
