x,p1,p2,p3,p4
0.02,1,1,1.1303,0.88473
0.03,-0.78236+1.863e-17i,1.0804+2.0715e-19i,0.98252-1.7838e-18i,0.93933+8.4362e-19i
0.04,0.96926+0.15106i,0.96926-0.15106i,1.0523+2.5642e-16i,0.72658-5.4504e-15i
0.05,1.0577-0.21589i,1.0577+0.21589i,1.0338-1.527e-16i,0.80992-2.0731e-15i
0.06,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.07,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.08,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.09,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.1,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i
0.11,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.12,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.13,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i
0.14,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.15,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i
0.16,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i
0.17,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.18,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.19,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i
0.2,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i
0.21,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.22,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i
0.23,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i
0.24,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.25,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.26,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i
0.27,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.28,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i
0.29,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.3,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.31,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i
0.32,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.33,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.34,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i
0.35,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.36,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i
0.37,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i
0.38,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i
0.39,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i
0.4,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.41,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.42,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i
0.43,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.44,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i
0.45,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i
0.46,0.93192+0.078966i,0.93192-0.078966i,0.91164+0.025152i,0.91164-0.025152i
0.47,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.48,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.49,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
0.5,0.93192-0.078966i,0.93192+0.078966i,0.91164-0.025152i,0.91164+0.025152i
