T_values,eig_diff1_values
0.02,1
0.03,7.9206
0.04,9.2032
0.05,10.486
0.06,2.9681
0.07,2.9681
0.08,2.9681
0.09,2.9681
0.1,2.9681
0.11,2.9681
0.12,2.9681
0.13,2.9681
0.14,2.9681
0.15,2.9681
0.16,2.9681
0.17,2.9681
0.18,2.9681
0.19,2.9681
0.2,2.9681
0.21,2.9681
0.22,2.9681
0.23,2.9681
0.24,2.9681
0.25,2.9681
0.26,2.9681
0.27,2.9681
0.28,2.9681
0.29,2.9681
0.3,2.9681
0.31,2.9681
0.32,2.9681
0.33,2.9681
0.34,2.9681
0.35,2.9681
0.36,2.9681
0.37,2.9681
0.38,2.9681
0.39,2.9681
0.4,2.9681
0.41,2.9681
0.42,2.9681
0.43,2.9681
0.44,2.9681
0.45,2.9681
0.46,2.9681
0.47,2.9681
0.48,2.9681
0.49,2.9681
0.5,2.9681
