x,p11,p12,p13,p14,p21,p22,p23,p24
0.0057296,0.96042-0.048355i,0.96042+0.048355i,0.94502-0.017132i,0.94502+0.017132i,0.95984-0.049168i,0.95984+0.049168i,0.9456-0.014538i,0.9456+0.014538i
0.017189,0.97541-0.045173i,0.9306-0.035797i,0.97541+0.045173i,0.9306+0.035797i,0.9601-0.046958i,0.9601+0.046958i,0.94509-0.02116i,0.94509+0.02116i
0.028648,0.97081-0.047266i,0.97081+0.047266i,0.93576-0.027708i,0.93576+0.027708i,0.96181-0.044902i,0.96181+0.044902i,0.94347-0.025036i,0.94347+0.025036i
0.040107,1.0251+5.5511e-17i,0.94927+0.072816i,0.94927-0.072816i,0.90433-1.2963e-15i,0.96047-0.047336i,0.96047+0.047336i,0.94589-0.011873i,0.94589+0.011873i
0.051566,0.9659+0.064554i,0.9659-0.064554i,0.97567-6.0765e-16i,0.90769+2.7026e-15i,0.95577-0.051309i,0.95577+0.051309i,0.9685,0.93186
0.063025,0.99947+4.4409e-16i,0.96293+0.082249i,0.96293-0.082249i,0.89621-2.088e-16i,0.99056,0.95175-0.059259i,0.95175+0.059259i,0.92231
0.074485,0.95993+0.085094i,0.99815-2.0817e-16i,0.95993-0.085094i,0.89309-1.6063e-15i,0.95606-0.055907i,0.95606+0.055907i,0.96388,0.93572
0.085944,0.97338-0.058572i,0.97338+0.058572i,0.956-1.5533e-16i,0.9183-1.3775e-15i,0.9592-0.052383i,0.9592+0.052383i,0.96502,0.93009
0.097403,0.97347+0.08197i,0.99272-2.0399e-16i,0.97347-0.08197i,0.88987-1.3929e-16i,0.99041,0.95537-0.061053i,0.95537+0.061053i,0.91294
0.10886,0.94951-0.078206i,1.0545-2.7409e-16i,0.94951+0.078206i,0.95566+1.1445e-16i,0.98354-0.04475i,0.98354+0.04475i,0.91612-0.053765i,0.91612+0.053765i
0.12032,0.97532-0.067452i,0.97532+0.067452i,0.97387-2.079e-16i,0.90151-5.6498e-17i,0.95943-0.056873i,0.95943+0.056873i,0.97327,0.92189
0.13178,1.0846-1.6653e-16i,0.95902-0.052934i,0.95902+0.052934i,0.91162+1.2705e-16i,0.97271-0.039553i,0.97271+0.039553i,0.93173-0.041982i,0.93173+0.041982i
0.14324,0.98343+0.089457i,0.98343-0.089457i,0.98126+4.0822e-16i,0.88988-2.0118e-16i,0.9611-0.054081i,0.9611+0.054081i,0.97212,0.91713
0.1547,0.97584-0.092288i,0.97584+0.092288i,0.98478+2.2077e-17i,0.8843+3.1724e-15i,0.97537-0.042741i,0.97537+0.042741i,0.93017-0.032637i,0.93017+0.032637i
0.16616,0.96682+0.11227i,0.96682-0.11227i,0.99066-1.2252e-16i,0.87151-1.2641e-15i,0.97825-0.033888i,0.97825+0.033888i,0.92316-0.057315i,0.92316+0.057315i
0.17762,0.98911-0.060548i,0.98911+0.060548i,0.91784-0.032263i,0.91784+0.032263i,0.96975-0.035725i,0.96975+0.035725i,0.93031-0.049502i,0.93031+0.049502i
0.18908,0.96573+0.11155i,1.0103+1.1612e-16i,0.96573-0.11155i,0.87267+1.0762e-15i,0.96443-0.051099i,0.96443+0.051099i,0.94238-0.016695i,0.94238+0.016695i
0.20054,0.988-0.11556i,0.988+0.11556i,0.98949+2.4353e-17i,0.88083+4.1651e-16i,0.97032-0.064554i,0.97032+0.064554i,0.96772,0.90537
0.21199,0.96525+0.13203i,0.96525-0.13203i,1.009+1.742e-16i,0.88261-4.9094e-15i,0.97892-0.03002i,0.97892+0.03002i,0.92212-0.054261i,0.92212+0.054261i
0.22345,0.99039+0.15642i,0.99039-0.15642i,0.99394-2.3298e-17i,0.89428+3.3426e-15i,0.99233,0.96732-0.069588i,0.96732+0.069588i,0.89668
0.23491,0.93429-0.14043i,0.93429+0.14043i,1.0247-1.0512e-16i,0.82913+1.3732e-14i,0.99325,0.95018-0.069057i,0.95018+0.069057i,0.91627
0.24637,0.99593+0.11941i,0.99593-0.11941i,0.98122+1.5433e-16i,0.88223-1.8673e-15i,0.9789-0.051134i,0.9789+0.051134i,0.92688-0.030594i,0.92688+0.030594i
0.25783,0.99988-0.11075i,0.99988+0.11075i,0.8699+5.4776e-15i,0.95491-2.6313e-16i,0.96948-0.049696i,0.96948+0.049696i,0.93035-0.032922i,0.93035+0.032922i
0.26929,0.98224-0.17266i,0.98224+0.17266i,1.0003+3.604e-17i,0.93558+2.183e-15i,1.0125,0.95845-0.075586i,0.95845+0.075586i,0.89882
0.28075,0.97751+0.14183i,0.81338-2.4117e-15i,0.97751-0.14183i,0.97698+9.4583e-17i,0.97805-0.055964i,0.97805+0.055964i,0.92635-0.017535i,0.92635+0.017535i
0.29221,1.3179-2.9865e-14i,0.92614+0.12498i,1.0117-6.7377e-16i,0.92614-0.12498i,0.95771-0.05764i,0.95771+0.05764i,0.9441-0.0029737i,0.9441+0.0029737i
0.30367,0.90028+0.12748i,0.90028-0.12748i,1.0639+7.9516e-16i,0.98572+4.5639e-15i,0.99166-0.043569i,0.99166+0.043569i,0.91475-0.052867i,0.91475+0.052867i
0.31513,1.5608-1.2046e-14i,0.90691+0.13934i,1.0117+2.2716e-16i,0.90691-0.13934i,0.9996,0.95081-0.065047i,0.95081+0.065047i,0.91412
0.32659,1.0222-0.11492i,1.0222+0.11492i,0.89082+6.6192e-16i,0.96359+2.416e-16i,0.99414-0.042843i,0.99414+0.042843i,0.91298-0.04979i,0.91298+0.04979i
0.33805,0.97628+0.16335i,0.97628-0.16335i,0.98752+3.1131e-16i,0.85254-2.8491e-15i,0.98803-0.051112i,0.98803+0.051112i,0.91162-0.054055i,0.91162+0.054055i
0.3495,0.98254-0.14496i,0.98254+0.14496i,0.99553+1.5708e-16i,0.85431+2.0793e-15i,0.97193-0.064758i,0.97193+0.064758i,0.9586,0.91588
0.36096,0.90291-0.096498i,0.90291+0.096498i,0.99439-0.04959i,0.99439+0.04959i,0.96499-0.062158i,0.96499+0.062158i,0.96911,0.90145
0.37242,0.94209+0.17523i,0.94209-0.17523i,1.0593+0.027539i,1.0593-0.027539i,0.9967,0.94983-0.054976i,0.94983+0.054976i,0.93013
0.38388,1.0354-0.085547i,1.0354+0.085547i,0.86803-0.086584i,0.86803+0.086584i,0.98928,0.95745-0.063096i,0.95745+0.063096i,0.91169
0.39534,0.96982+0.13606i,0.96982-0.13606i,1.0138-1.0701e-16i,0.94916-3.1808e-15i,1.0075,0.96417-0.083032i,0.96417+0.083032i,0.89063
0.4068,0.96901+0.15871i,0.96901-0.15871i,0.99465-1.2885e-16i,0.85691-8.9989e-16i,0.92323-0.044388i,0.92323+0.044388i,0.98691,0.97005
0.41826,1.435-1.1465e-14i,0.85787+1.9179e-18i,0.95589+0.047904i,0.95589-0.047904i,1.0075,0.96452-0.08273i,0.96452+0.08273i,0.88933
0.42972,1.0235+0.080463i,1.0235-0.080463i,0.92218+0.035766i,0.92218-0.035766i,1.0004,0.96008-0.061732i,0.96008+0.061732i,0.90844
0.44118,0.98667-0.11292i,0.98667+0.11292i,0.99237-3.8749e-16i,0.88058+4.7141e-15i,0.98166-0.043979i,0.98166+0.043979i,0.91573-0.055017i,0.91573+0.055017i
0.45264,1.0038-0.14693i,1.0038+0.14693i,0.9747+9.8733e-17i,0.87506+2.2474e-15i,0.98165-0.05136i,0.98165+0.05136i,0.92419-0.052682i,0.92419+0.052682i
0.4641,0.9658+0.15304i,0.9658-0.15304i,1.0134-6.1567e-17i,0.92662-6.7409e-15i,0.9909-0.032721i,0.9909+0.032721i,0.91916-0.053703i,0.91916+0.053703i
0.47555,0.94769-0.18059i,0.94769+0.18059i,1.038-0.067904i,1.038+0.067904i,1.0101,0.95394-0.080106i,0.95394+0.080106i,0.90124
0.48701,1.0003-0.14045i,1.0003+0.14045i,0.97788-6.5578e-16i,0.9441+1.7355e-15i,1.0068,0.9719-0.076433i,0.9719+0.076433i,0.89369
0.49847,1.0173+0.10573i,1.0173-0.10573i,0.85336-3.8596e-15i,0.94737+1.1648e-16i,0.96251-0.057183i,0.96251+0.057183i,0.94142-0.014044i,0.94142+0.014044i
0.50993,0.98048+0.16005i,0.98048-0.16005i,1.0078-2.5868e-16i,0.90982-5.7139e-17i,0.99754-0.018237i,0.99754+0.018237i,0.91078-0.064147i,0.91078+0.064147i
0.52139,1.0068-0.1302i,1.0068+0.1302i,0.97521+1.0126e-16i,0.91927+4.3101e-16i,0.96492-0.051787i,0.96492+0.051787i,0.93652-0.043049i,0.93652+0.043049i
0.53285,0.49526+5.2665e-14i,1.2437-1.5709e-14i,0.97508+0.11465i,0.97508-0.11465i,1.0009,0.94484-0.060907i,0.94484+0.060907i,0.92893
0.54431,1.134+8.3267e-17i,0.93816-0.043495i,0.93816+0.043495i,0.91648-1.5376e-17i,0.97164-0.076635i,0.97164+0.076635i,0.9908,0.89264
0.55577,0.98457+0.17467i,0.98457-0.17467i,0.99026-4.5061e-17i,0.83605-2.9585e-15i,0.92832-0.06092i,0.92832+0.06092i,0.96656-0.029597i,0.96656+0.029597i
0.56723,0.98125+0.19145i,0.98125-0.19145i,0.82693-5.3944e-15i,0.98504-3.3143e-17i,0.98876-0.032956i,0.98876+0.032956i,0.91673-0.053984i,0.91673+0.053984i
