x,y1,y2
0.04,4.2055,0.91813
0.08,0.34548,0.48512
0.12,0.93312,0.15857
0.16,5.4023,0.42116
0.2,1.6115,0.19996
0.24,0.52222,0.41358
0.28,0.74407,0.38332
0.32,0.049804,0.032693
0.36,0.63843,0.21419
0.4,0.19487,0.097203
0.44,1.1516,0.39647
0.48,0.5154,0.048959
0.52,0.33962,0.17867
0.56,0.14011,0.025407
0.6,1.4879,0.10973
0.64,0.2165,0.083831
0.68,1.0658,0.061793
0.72,0.053657,0.12997
0.76,0.10703,0.070339
0.8,0.030186,0.092294
0.84,0.067925,0.025196
0.88,0.06213,0.043723
0.92,0.26628,0.14928
0.96,0.039474,0.079774
1,0.13943,0.036981
1.04,0.055756,0.03864
1.08,0.68856,0.51096
1.12,0.091213,0.023602
1.16,0.56684,0.016193
1.2,0.64705,0.5342
1.24,0.79206,0.047027
1.28,0.20176,0.081419
1.32,0.3837,0.067341
1.36,1.1263,0.020216
1.4,0.093753,0.026256
