x,p11,p12,p13,p14,p21,p22,p23,p24
0.04,0.98282-0.155i,0.8121+5.0644e-15i,0.98282+0.155i,0.97606-7.2629e-17i,0.97616-0.06891i,0.97616+0.06891i,0.89532,0.92654
0.08,0.99961-0.08952i,0.99961+0.08952i,0.99383-6.616e-17i,0.90132+9.5027e-17i,1.0097,0.96843-0.074252i,0.96843+0.074252i,0.88822
0.12,0.95989-0.098788i,0.95989+0.098788i,1.029-7.927e-16i,0.96972+1.3431e-15i,0.98707,0.95591-0.068623i,0.95591+0.068623i,0.90787
0.16,1.0217-0.15189i,1.0217+0.15189i,0.85541-7.6292e-16i,0.94131+1.7124e-16i,0.97745-0.071875i,0.97745+0.071875i,0.95314,0.9024
0.2,0.94816+0.11256i,1.0313+1.8491e-16i,0.94816-0.11256i,0.87807+5.0652e-15i,0.97986-0.046996i,0.97986+0.046996i,0.92327-0.04743i,0.92327+0.04743i
0.24,1.0005+1.1102e-16i,0.97256-0.1043i,0.97256+0.1043i,0.8888+1.6661e-16i,1.0021,0.95117-0.056249i,0.95117+0.056249i,0.91649
0.28,0.96146-0.090167i,1.0205+7.4333e-16i,0.96146+0.090167i,0.89127+2.6734e-15i,0.99939,0.94875-0.05441i,0.94875+0.05441i,0.92267
0.32,0.97179+0.062639i,0.97179-0.062639i,0.96876-8.2505e-16i,0.90888+8.218e-16i,0.96789-0.042572i,0.96789+0.042572i,0.9383-0.027733i,0.9383+0.027733i
0.36,0.96512-0.098069i,1.0024+4.7184e-16i,0.96512+0.098069i,0.87238+8.928e-16i,0.98862,0.9483-0.055229i,0.9483+0.055229i,0.92661
0.4,0.97836-0.071495i,0.97836+0.071495i,0.96672+8.3553e-16i,0.9006+4.7915e-16i,0.9593-0.055757i,0.9593+0.055757i,0.97668,0.91875
0.44,0.94771-0.083028i,1.0416+2.1684e-18i,0.94771+0.083028i,0.95025+3.8903e-15i,1.0006,0.95485-0.058282i,0.95485+0.058282i,0.91444
0.48,0.95753+0.089166i,1.0058-3.0878e-16i,0.95753-0.089166i,0.8895-6.1261e-16i,0.96585-0.040299i,0.96585+0.040299i,0.93873-0.038615i,0.93873+0.038615i
0.52,0.98443+0.062051i,0.98443-0.062051i,0.92366+0.028097i,0.92366-0.028097i,0.96673-0.0545i,0.96673+0.0545i,0.93764-0.025343i,0.93764+0.025343i
0.56,0.96132+0.069257i,0.98732-4.397e-16i,0.96132-0.069257i,0.90615-2.4624e-15i,0.95916-0.05378i,0.95916+0.05378i,0.96227,0.93249
0.6,0.96325-0.075277i,0.96325+0.075277i,0.91249-0.013405i,0.91249+0.013405i,0.95767-0.05696i,0.95767+0.05696i,0.97911,0.9199
0.64,0.97936+0.05288i,0.97936-0.05288i,0.92602+0.036688i,0.92602-0.036688i,0.94962-0.04304i,0.94962+0.04304i,0.95694-0.022629i,0.95694+0.022629i
0.68,0.95342-0.081798i,1.0332+2.8796e-16i,0.95342+0.081798i,0.90478+1.5337e-16i,0.96321-0.047742i,0.96321+0.047742i,0.94823,0.93986
0.72,0.96037+0.05329i,0.96037-0.05329i,0.96535-1.555e-16i,0.92846-1.2232e-15i,0.95155-0.054824i,0.95155+0.054824i,0.97958,0.92948
0.76,0.97388-0.045939i,0.9306-0.037367i,0.97388+0.045939i,0.9306+0.037367i,0.97223-0.041381i,0.97223+0.041381i,0.93172-0.040972i,0.93172+0.040972i
0.8,0.9541+0.049061i,0.9541-0.049061i,0.95077+0.0099411i,0.95077-0.0099411i,0.9757-0.039244i,0.9757+0.039244i,0.9265-0.047746i,0.9265+0.047746i
0.84,0.96157+0.062594i,0.96157-0.062594i,0.97773-3.9515e-16i,0.91361+7.3672e-16i,0.95903-0.054091i,0.95903+0.054091i,0.96414,0.92943
0.88,0.96224-0.058716i,0.96224+0.058716i,0.97566+6.4577e-16i,0.91439-1.4826e-15i,0.96112-0.053985i,0.96112+0.053985i,0.96592,0.92596
0.92,0.97665-0.052388i,0.97665+0.052388i,0.92597-0.03759i,0.92597+0.03759i,0.97438-0.046118i,0.97438+0.046118i,0.92887-0.040197i,0.92887+0.040197i
0.96,0.95852+0.056649i,0.95852-0.056649i,0.96996-9.6869e-16i,0.92484+1.1273e-15i,0.95568-0.052838i,0.95568+0.052838i,0.96956,0.93229
1,0.95767-0.065076i,0.98812-1.9732e-16i,0.95767+0.065076i,0.90916+1.755e-15i,0.95915-0.052757i,0.95915+0.052757i,0.9652,0.92807
1.04,0.97138+0.04798i,0.97138-0.04798i,0.93486+0.024297i,0.93486-0.024297i,0.96033-0.050368i,0.96033+0.050368i,0.95961,0.9314
1.08,0.94709+0.0622i,0.99798+0.0059292i,0.99798-0.0059292i,0.94709-0.0622i,0.98764-0.053052i,0.98764+0.053052i,0.91049-0.058328i,0.91049+0.058328i
1.12,0.96303-0.064402i,0.96303+0.064402i,0.96916-1.3314e-15i,0.91677-3.7217e-16i,0.95903-0.055385i,0.95903+0.055385i,0.96382,0.92934
1.16,0.95529-0.061073i,1.0088-2.8449e-15i,0.95529+0.061073i,0.92654+1.2434e-15i,0.95877-0.0341i,0.95877+0.0341i,0.94562-0.040501i,0.94562+0.040501i
1.2,0.95284-0.063174i,0.99474-0.013375i,0.99474+0.013375i,0.95284+0.063174i,0.99459-0.057604i,0.99459+0.057604i,0.90877-0.055566i,0.90877+0.055566i
1.24,0.94767-0.060699i,1.019-2.9147e-15i,0.98732+2.328e-15i,0.94767+0.060699i,0.97144-0.039585i,0.97144+0.039585i,0.93327-0.039412i,0.93327+0.039412i
1.28,0.98068-0.046089i,0.9209-0.047437i,0.98068+0.046089i,0.9209+0.047437i,0.97185-0.042116i,0.97185+0.042116i,0.93181-0.040225i,0.93181+0.040225i
1.32,0.99709+4.4409e-16i,0.95952-0.058468i,0.95952+0.058468i,0.91732+1.0532e-15i,0.96197-0.049247i,0.96197+0.049247i,0.95419,0.93757
1.36,1.0375+5.5511e-17i,0.9481+0.070415i,0.9481-0.070415i,0.9102-6.0904e-16i,0.96419-0.03893i,0.96419+0.03893i,0.94134-0.034904i,0.94134+0.034904i
1.4,0.96243+0.059378i,0.96243-0.059378i,0.96299-2.3706e-16i,0.92042+5.7801e-16i,0.9618-0.055082i,0.9618+0.055082i,0.95951,0.92804
