time,phi,theta,phi_dot,theta_dot,ua,ref,ts
0.0,-12.16,0.28,-2.5,-0.07,-0.47,-0.2,0.0
0.011,-12.17999206095482,0.27671797888866406,-1.253377620795962,-0.18936105666951475,0.36000000000000004,0.41,0.0
0.02,-12.189355390117663,0.3263948351810966,-0.8418921216363495,-0.479095452777476,-0.19999999999999996,-0.02,0.0
0.03,-12.192092365363418,0.22549465643548933,-0.33026562068105614,-0.32878766609010135,-0.07999999999999996,-0.2,0.0
0.04,-12.19919387654451,0.226984343508443,-1.0134013651089728,-0.6056716622844762,-0.43999999999999995,-0.14,0.0
0.05,-12.210660746733629,0.17282173548645607,-1.3956662046291506,-0.724755513110682,-1.02,-0.65,0.0
0.06,-12.230633805259455,0.08147739648248405,-1.8973592218985342,-0.5522509505203927,0.14,0.48,0.0
0.07,-12.248818674113627,0.2804857320673819,-1.958561297806666,-0.5749557076221494,-0.84,-0.27,0.0
0.08,-12.263525280622282,0.1838452413496637,-1.8906470984507517,0.3692616928851851,-1.1,-1.12,0.0
0.09,-12.29799080248008,0.1673325934934227,-3.8041463739772277,0.7579264456610939,-0.37,0.88,0.0
0.1,-12.338088494920163,0.272215651258674,-3.527344427404495,0.7746960446470573,-0.57,-0.22,0.0
0.11,-12.355468005257507,0.21555933340607558,-1.9024349077035971,1.1330433086184464,0.0,0.44,0.0
0.12,-12.355137356922722,0.24597259641326366,-0.32518528212044384,1.1767532078912595,0.15000000000000002,0.28,0.0
0.13,-12.35160473773195,0.20144509864996493,0.06662188279890109,0.17975134185164854,-0.25,-0.49,0.0
0.141,-12.35096764301694,0.11678150384704367,-0.16969154370761252,-0.8286055057563084,-0.020000000000000018,0.94,0.0
0.151,-12.350711820199995,0.20079379687794563,-0.06255774221979515,-0.806776099529361,-0.26,0.61,0.0
0.161,-12.351142717591589,0.18596699928763075,-0.24746067171117803,-0.5294186132743777,-1.0699999999999998,-1.06,0.0
0.171,-12.353754060429278,0.057917410307231715,-0.8901667264823963,-0.15584906577124458,-0.52,-0.58,0.0
0.182,-12.354095691397312,0.10240177046982465,-0.541972008366592,-0.1689449415249048,-0.14,0.59,0.0
0.191,-12.352540695180721,0.15990333946450724,-0.20382662685871278,-0.2511178232773148,0.040000000000000036,-0.01,0.0
0.201,-12.351067861738816,0.21408495136467348,-0.03224053554440588,-0.10178271709526224,0.0,-0.1,0.0
0.211,-12.350482502851433,0.21721140448528772,-0.04296484479202592,0.053096926642494074,0.11000000000000004,-0.03,0.0
0.221,-12.350028438024102,0.2205595551612462,0.04740717566418015,-0.023367363966827703,-0.39,0.3,0.0
0.231,-12.351087908071914,0.15199137175687605,-0.3251118506533688,0.09857637708420053,-0.35000000000000003,0.33,0.0
